Filename,Extension,File Size
RELEX - GOTONG ROYONG,.pdf,427144
"RELEX - TRADITIONAL, CULTURE AND GAMES WEEK",.pdf,284798
EwaCommon,.png,19229
EwaFieldList_m2,.png,2453
EwaOther_m2,.png,22266
BORANG ANALISA RISIKO AKTIVITI,.docx,39871
BORANG C,.docx,172081
BORANG PENGANJURAN MAJLIS SEMASA COVID 19,.docx,44741
SURAT RASMI,.docx,71538
borang penangguhan,.pdf,216585
Borang Penilaian Gotong-royong,.docx,261762
Borang Penilaian Gotong-royong,.pdf,194347
Borang Penilaian UPPM Camping,.docx,1426427
Borang Penilaian UPPM Camping,.pdf,360479
Borang Penilaian UPPM TCG,.docx,438590
Borang Penilaian UPPM TCG,.pdf,382843
gotong royong,.jpg,132665
poster camp,.jpg,173214
SENARAI NAMA gotong royong,.pdf,119843
5. TENTATIF PROGRAM,.pdf,45952
6. IMPLIKASI KEWANGAN,.pdf,45756
cultural games,.txt,560
Explorace,.docx,13581
Explorace,.pdf,67561
slip pra daftar,.pdf,181998
surat aku janji,.pdf,367305
NAMA AJK PANTAI PANDAK,.docx,15703
SENARAI NAMA PESERTA dan ajk LEISURE CAMPING (1),.pdf,173639
SENARAI NAMA PESERTA LEISURE CAMPING (1),.pdf,142763
SENARAI NAMA PESERTA LEISURE CAMPING (1).pdf,.docx,20632
Minit Mesyuarat 4 (1),.docx,50207
Minit Mesyuarat 4,.docx,50207
surat pemakluman polis,.docx,338457
surat permohonan pengangkutan (incomplete),.docx,351118
Doa Pembuka Majlis 2.1,.docx,21504
Doa Pembuka Majlis 2.1,.pdf,69300
Doa Pembuka Majlis 2,.pdf,68793
EACC - TRADITIONAL CULTURE,.pdf,427392
Kelulusan Pengecualian Kuliah TCG Week,.pdf,778157
kena edit,.docx,206537
Laporan Penutup TCG (RELEX),.docx,1610994
Laporan Penutup TCG (RELEX),.pdf,1090196
new parking,.pdf,82909
Parking,.docx,16666
Parking,.pdf,51483
PERMOHONAN PENGECUALIAN KULIAH.docx,.pdf,124144
Picture1,.jpg,60452
Surat jemputan Relex,.pdf,192483
WhatsApp Image 2023-04-11 at 08.00.37,.jpg,123766
photo_2023-04-11_23-12-59,.jpg,212772
photo_2023-04-11_23-13-00,.jpg,342523
photo_2023-04-11_23-13-00 (2),.jpg,198495
photo_2023-04-11_23-13-00,.jpg,226656
photo_2023-04-11_23-13-01 (2),.jpg,226604
photo_2023-04-11_23-13-01 (3),.jpg,214929
photo_2023-04-11_23-13-01,.jpg,253402
surat pengecualian kuliah,.pdf,2359166
EVALUATION_RUBRIC_FOR_VIDEO_E-MAJALAH_2023[1],.pdf,65511
SLIDE BENGKEL PENYEDIAAN VIDEO E-MAJALAH DAN ARTIKEL,.pdf,18309611
5_6073253085629645220,.docx,207462
CamScanner 02-07-2021 00.18.18,.pdf,1479576
csc 402 project (1)-1 (2) (2) (1),.docx,1833469
ict 450 project,.docx,576397
Jan 2018-PYQ-Solution,.pdf,772442
MUHAMMAD FAHMI BIN MUHAMAD ZAKI-2020498714-ASSESSMENT2,.pdf,1743760
photo_2021-02-07_08-51-16,.jpg,11287
ULASAN ARTIKEL CS2301B2,.docx,102501
Chapter 1A - Computer Architecture Evolution-Von Neumann,.pdf,3832150
Chapter 1B - Building Blocks-Logic Expression-Register Transfer (1),.pdf,1484794
Chapter 2A-Numbering System,.pdf,2030862
Chapter 2B-Arithmetic Operations,.pdf,1657007
Chapter 2C-Signed and 2's Complement,.pdf,1867739
Chapter 2D-IEEE Floating Point Representation,.pdf,1625759
Chapter 3 csc429 actual [Compatibility Mode] (5),.pdf,5490900
Chapter 4A - Storage Systems and Their Technology,.pdf,871824
Chapter 4B - Memory,.pdf,685164
Chapter 4C - Cache Memory,.pdf,1408899
Chapter 5 - Interfacing and Communication (1),.pdf,2420722
Chapter 6 - Instruction Set Architecture,.pdf,2311147
Chapter 7 - Parallel Processing,.pdf,3493632
2020498714,.docx,80105
cover skrip_2020498714,.pdf,372252
Template Student's Declaration_2020498714,.pdf,145035
FA_CSC429_2020498714,.pdf,3678160
2018 DEC CSC402,.pdf,1775407
2018 JAN CSC402,.pdf,1864650
cover skrip,.pdf,89248
CS2301B2-HOTEL ADMINISTRATION SYSTEM,.mp4,66743980
CS2301B2-HOTEL ADMINISTRATION SYSTEM,.pdf,1640983
FffE,.pdf,1576268
FILLED COVER SCRIPT,.pdf,88001
final CSC402 project,.docx,2806421
final CSC402 project,.pdf,1576268
name,.wav,707722
5_6147794291751125454,.docx,236982
CamScanner 02-17-2021 17.03.23,.pdf,3501923
CSC402-FINAL EXAM QUESTION-FEB2021,.docx,236982
MUHAMMAD FAHMI BIN MUHAMAD ZAKI - 2020498714,.pdf,3586547
0001,.jpg,1565797
CSC413 Week 08 Video,.pdf,1671812
edited storyboard,.pdf,3085996
group project,.docx,213838
Lab 6,.pdf,7399719
man 1,.png,34719
OCEAN SOUND EFFECT [HD] (320 kbps),.mp3,2472400
odl-experience-part-2,.pdf,1351722
odlexperience part 1,.pdf,1877078
proposal,.docx,223080
ramly-burger-logo-4AF5F14A39-seeklogo.com,.png,15797
scary-experience-part-1,.pdf,2290548
scary-experience-part-2,.pdf,1081492
scene 1,.png,6990
timetable,.pdf,60837
MUHAMMAD FAHMI BIN MUHAMAD ZAKI - 2020498714,.pdf,324368
Muhammad fahmi Muhamad zaki - FINAL ASSESSMENT CSC413 FEB 2021 (QUESTION & ANSWER SHEET),.docx,84005
Muhammad fahmi Muhamad zaki - FINAL ASSESSMENT CSC413 FEB 2021 (QUESTION & ANSWER SHEET),.pdf,262800
5_6073253085629645220 (1),.docx,207462
5_6073253085629645220 (2),.docx,207462
5_6073253085629645220,.docx,207462
burger ramly poster,.psd,11574004
csc 402 project (1),.docx,794544
585daadaf8f24d7cb6fb6cb3d606e901_1582586103195461075,.jpeg,49487
Audio 1,.wav,966542
Audio 2,.wav,2236294
Audio 2_2,.wav,2400134
Burger-Ayam-70g-1-231x300 (2),.jpg,25739
Burger-Ayam-70g-1-231x300,.jpg,18720
cook,.wav,1863918
halal,.wav,1445242
Monster-Burger-d,.jpg,56329
Screenshot 2021-02-04 020440,.png,666028
Audio 1.wav 48000,.pek,4164
Audio 2.wav 48000,.pek,10308
Audio 2_2.wav 48000,.pek,10308
cook.wav 48000_1,.pek,16452
halal.wav 48000,.pek,12356
video ad burger ramly,.mp4,99932245
video ad burger ramly.mp4 48000,.pek,112708
fixed final animation,.mp4,525931
fixed final animation,.zip,326990
CHAPTER 12-NEW,.pdf,622426
CS413_Chapter10,.pdf,723983
CS413_Chapter11,.pdf,743679
CS413_Chapter6,.pdf,1514919
CS413_Chapter7,.pdf,1515254
CS413_Chapter8,.pdf,1688906
CS413_Chapter9,.pdf,649343
poster,.jpg,3461983
ICT450 FA Feb 2021,.pdf,212430
MUHAMMAD FAHMI BIN MUHAMAD ZAKI CS2301B2,.pdf,450192
Revision Material 1,.pdf,1299479
Revision Material 2,.pdf,619228
Revision Material 3,.pdf,519070
Revision Material 4,.pdf,284897
5_6073253085629645220,.docx,207462
Final Project (2),.accdb,4194304
FINAL REPORT,.pdf,1467196
formatted ICT 450 (1) (1) (2),.docx,2844945
ict 450 project (1) (2),.docx,685619
ICT450 (FEB 2021) - Question,.pdf,300719
ICT450 project,.mp4,13258174
MINI%20PROPOSAL%20SEMI%20FINAL(1),.docx,373783
Presentation of final project Programming I-1.,.pptx,11538955
slide ICT450 (1),.pptx,1194537
2c. Borang Semakan Skrip Jawapan Penilaian Akhir,.doc,112128
6-0-trigonometric-circular-measure-edited-part-1 [without edits],.pdf,5578380
6-0-trigonometric-circular-measure-edited-part-2 [without edits],.pdf,7642518
6-2-trigonometric-equation [without edits],.pdf,3951822
6-3-trigonometric-proof [without edits],.pdf,4472278
7-0-matrices-operation-part-2 [without edits],.pdf,4988289
7-1-determinants [without edits],.pdf,4844823
chapter-7-matrices [without edits],.pdf,827908
COVER PAGE,.pdf,203876
geometry-coordinates-part1 [without edits],.pdf,6626176
geometry-coordinates-part2 [without edits],.pdf,3129223
Revision MAT406,.pdf,668783
tuto-50-arclength-area-of-sector [without edits],.pdf,92746
CamScanner 02-18-2021 10.50.40,.pdf,2983188
"Kalendar_Akademik_Kumpulan_B_Program_Pra_Diploma,_Diploma,_Sarjana",.pdf,197614
Muhammad fahmi Muhamad zaki - MAT406 Answer Cover & Final Assessment Test Declaration Form,.pdf,197130
T5CS2301B2_MUHAMMAD FAHMI BIN MUHAMAD ZAKI_2020498714,.pdf,3191449
Fraudulent Facebook ads charges on Bank statements,.pptx,2891094
Submission report September 2023,.xlsx,19803
Submission reportJuly2023,.xlsx,20196
submission-9680e-7790228cc8ba,.json,2364
Template,.xlsx,26356
ProjectSettings,.json,52
VSWorkspaceState,.json,115
base_library,.zip,849163
warn-holiday test,.txt,59383
base_library,.zip,849163
warn-Submission report,.txt,65445
base_library,.zip,849163
warn-TEST APP,.txt,55323
top_level,.txt,47
module1,.xlsx,25825
Report,.xlsx,20192
SMHholiday,.xlsx,11388
Template,.xlsx,32633
New Text Document,.txt,0
base_library,.zip,849163
endpoints,.json,750150
partitions,.json,5268
sdk-default-configuration,.json,4135
_retry,.json,7025
examples-1,.json,44
paginators-1,.json,1394
service-2,.json,140474
examples-1,.json,44
paginators-1,.json,185
service-2,.json,40704
examples-1,.json,44
paginators-1,.json,203
service-2,.json,76955
waiters-2,.json,874
examples-1,.json,44
paginators-1,.json,537
service-2,.json,136588
waiters-2,.json,1928
examples-1,.json,44
paginators-1,.json,2256
service-2,.json,213450
examples-1,.json,44
paginators-1,.json,377
service-2,.json,57835
waiters-2,.json,1183
examples-1,.json,44
paginators-1,.json,685
service-2,.json,120688
paginators-1,.json,186
service-2,.json,161873
examples-1,.json,44
paginators-1,.json,1063
service-2,.json,123495
waiters-2,.json,39
examples-1,.json,44
paginators-1,.json,2913
service-2,.json,309467
paginators-1,.json,23
service-2,.json,7498
paginators-1,.json,1626
service-2,.json,461298
examples-1,.json,25502
paginators-1,.json,23
service-2,.json,123039
examples-1,.json,44
paginators-1,.json,23
service-2,.json,14648
paginators-1,.json,745
service-2,.json,86773
waiters-2,.json,39
examples-1,.json,44
paginators-1,.json,23
service-2,.json,233245
examples-1,.json,44
paginators-1,.json,23
service-2,.json,41447
examples-1,.json,8473
paginators-1,.json,751
service-2,.json,193007
examples-1,.json,44
paginators-1,.json,23
service-2,.json,93449
examples-1,.json,44
paginators-1,.json,205
service-2,.json,17034
examples-1,.json,41
paginators-1,.json,665
service-2,.json,73589
examples-1,.json,44
paginators-1,.json,1334
service-2,.json,239784
examples-1,.json,44
paginators-1,.json,23
service-2,.json,136630
examples-1,.json,44
paginators-1,.json,1584
service-2,.json,226089
waiters-2,.json,1245
examples-1,.json,44
paginators-1,.json,1179
service-2,.json,170648
paginators-1,.json,354
service-2,.json,32573
examples-1,.json,44
paginators-1,.json,1330
service-2,.json,212364
examples-1,.json,44
paginators-1,.json,23
service-2,.json,216101
examples-1,.json,50352
paginators-1,.json,2033
paginators-1.sdk-extras,.json,177
service-2,.json,362629
examples-1,.json,44
paginators-1,.json,389
service-2,.json,54480
examples-1,.json,44
paginators-1,.json,2315
service-2,.json,288020
examples-1,.json,44
paginators-1,.json,531
service-2,.json,60896
paginators-1,.json,23
service-2,.json,27643
examples-1,.json,20292
paginators-1,.json,905
service-2,.json,281026
examples-1,.json,44
paginators-1,.json,2192
service-2,.json,118819
waiters-2,.json,36
examples-1,.json,44
paginators-1,.json,515
service-2,.json,54497
examples-1,.json,44
paginators-1,.json,1512
service-2,.json,84254
examples-1,.json,44
paginators-1,.json,23
service-2,.json,262650
examples-1,.json,44
paginators-1,.json,343
service-2,.json,562255
examples-1,.json,44
paginators-1,.json,23
service-2,.json,80477
paginators-1,.json,23
service-2,.json,112210
examples-1,.json,44
paginators-1,.json,23
service-2,.json,76062
examples-1,.json,44
paginators-1,.json,23
service-2,.json,166184
paginators-1,.json,373
service-2,.json,216253
paginators-1,.json,1286
service-2,.json,126382
waiters-2,.json,39
examples-1,.json,9183
paginators-1,.json,380
service-2,.json,39377
examples-1,.json,44
paginators-1,.json,392
paginators-1.sdk-extras,.json,143
service-2,.json,48785
waiters-2,.json,738
examples-1,.json,44
paginators-1,.json,2808
service-2,.json,229185
examples-1,.json,44
paginators-1,.json,3342
service-2,.json,236443
examples-1,.json,44
paginators-1,.json,2564
service-2,.json,465859
waiters-2,.json,8070
paginators-1,.json,1126
service-2,.json,144492
waiters-2,.json,1184
paginators-1,.json,1126
service-2,.json,147479
waiters-2,.json,1184
paginators-1,.json,1126
service-2,.json,147700
waiters-2,.json,1184
paginators-1,.json,1126
service-2,.json,150842
waiters-2,.json,1184
paginators-1,.json,1126
service-2,.json,154636
waiters-2,.json,1184
paginators-1,.json,1126
service-2,.json,130784
waiters-2,.json,1184
paginators-1,.json,1126
service-2,.json,133880
waiters-2,.json,1184
examples-1,.json,44
paginators-1,.json,1126
service-2,.json,133424
waiters-2,.json,1184
examples-1,.json,44
paginators-1,.json,1126
service-2,.json,148384
waiters-2,.json,1184
paginators-1,.json,1126
service-2,.json,150982
waiters-2,.json,1184
examples-1,.json,44
paginators-1,.json,1126
service-2,.json,151766
waiters-2,.json,1184
examples-1,.json,44
paginators-1,.json,1126
service-2,.json,194806
waiters-2,.json,1184
examples-1,.json,44
paginators-1,.json,1126
service-2,.json,197970
waiters-2,.json,1184
paginators-1,.json,1126
service-2,.json,206093
waiters-2,.json,1184
examples-1,.json,44
paginators-1,.json,1126
service-2,.json,264716
waiters-2,.json,1184
examples-1,.json,44
paginators-1,.json,1126
service-2,.json,267331
waiters-2,.json,1184
examples-1,.json,44
paginators-1,.json,1126
service-2,.json,273141
waiters-2,.json,1184
examples-1,.json,44
paginators-1,.json,1126
service-2,.json,281937
waiters-2,.json,1184
examples-1,.json,44
paginators-1,.json,1126
service-2,.json,574201
waiters-2,.json,1184
examples-1,.json,44
paginators-1,.json,409
service-2,.json,54694
examples-1,.json,44
paginators-1,.json,512
service-2,.json,44006
service-2,.json,84791
examples-1,.json,44
paginators-1,.json,23
service-2,.json,96766
